id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
467,1,0,1,0,0.9,Administración,Decisión y apoyo,8.9,3,> 1 año,6,5,0.7,0,5 a 9,1 a 4,0
468,1,0,0,0,0,Administración,Decisión y apoyo,11.3,2,> 1 año,4,3,0.4,0,10 a 14,5 a 9,0
469,0,0,0,0,0,Administración,Decisión y apoyo,20.7,0,0,2,2,0.1,0,5 a 9,0,0
470,0,0,0,0,0,Administración,Decisión y apoyo,0,0,0,1,1,,0,0,0,0
471,1,0,1,0,11.8,Administración,Decisión y apoyo,3.7,0,0,3,3,0.8,1,15 a 19,1 a 4,698
472,1,0,4,0,6.4,Administración,Decisión y apoyo,8.6,3,> 1 año,5,5,0.6,1,20 a 24,1 a 4,0
473,1,0,1,0,0.2,Administración,Decisión y apoyo,14.6,0,0,5,4,0.3,1,20 a 24,1 a 4,781
474,0,0,1,0,0,Administración,Decisión y apoyo,5.8,1,7 a 12,3,3,0.5,0,10 a 14,5 a 9,0
475,0,0,0,0,0,Administración,Decisión y apoyo,10.2,3,> 1 año,5,4,0.5,1,15 a 19,1 a 4,744
476,1,0,0,0,0,Administración,Decisión y apoyo,25.7,0,0,3,2,0.1,0,10 a 14,0,0
477,1,0,5,0,13.6,Administración,Decisión y apoyo,14.8,1,1 a 3,6,4,0.4,1,20 a 24,1 a 4,504
478,0,0,5,0,27.6,Administración,Decisión y apoyo,9.2,1,7 a 12,5,5,0.5,0,5 a 9,1 a 4,0
479,1,0,1,0,0.8,Administración,Decisión y apoyo,2.2,0,0,1,1,0.5,0,1 a 4,0,0
480,1,0,4,0,16.7,Administración,Decisión y apoyo,19,2,> 1 año,9,9,0.5,1,5 a 9,0,458
481,1,0,1,0,0,Administración,Decisión y apoyo,15.2,3,> 1 año,8,8,0.5,0,10 a 14,1 a 4,0
482,1,0,3,1,11.8,Administración,Decisión y apoyo,20.4,0,0,8,7,0.4,1,20 a 24,5 a 9,734
483,1,0,1,0,5,Administración,Decisión y apoyo,10.7,1,7 a 12,8,7,0.7,0,10 a 14,1 a 4,513
484,1,0,1,1,4.9,Administración,Decisión y apoyo,12.7,4,> 1 año,11,5,0.9,1,20 a 24,5 a 9,0
485,0,0,0,0,0,Administración,Decisión y apoyo,6.8,2,4 a 6,8,7,1.2,1,20 a 24,1 a 4,0
486,0,0,4,0,5.8,Administración,Decisión y apoyo,24.7,0,0,20,20,0.8,0,20 a 24,0,1147
